time,pressure_hPa,precipitation_mm,luminous_intensity_lux,hour_sin,hour_cos,day_of_year_sin,day_of_year_cos,is_active_alert,alert_severity,alert_id
2025-11-19 10:50:00,1022.04,0.5588,8720.9,0.30070579950427334,-0.9537169507482268,-0.661634618242279,0.749826401204568,False,,
2025-11-19 11:00:00,1022.015,0.5588,16054.9,0.258819045102521,-0.9659258262890682,-0.661634618242279,0.749826401204568,False,,
2025-11-19 11:10:00,1021.87,0.0,15940.9,0.21643961393810274,-0.9762960071199334,-0.661634618242279,0.749826401204568,False,,
2025-11-19 11:20:00,1021.63,0.0,16061.3,0.1736481776669307,-0.984807753012208,-0.661634618242279,0.749826401204568,False,,
2025-11-19 11:30:00,1021.46,0.0,16571.0,0.13052619222005157,-0.9914448613738104,-0.661634618242279,0.749826401204568,False,,
2025-11-19 11:40:00,1021.19,0.0,16140.9,0.0871557427476582,-0.9961946980917455,-0.661634618242279,0.749826401204568,False,,
2025-11-19 11:50:00,1021.03,0.0,16472.1,0.04361938736533607,-0.9990482215818578,-0.661634618242279,0.749826401204568,False,,
2025-11-19 12:00:00,1020.91,0.0,10382.1,1.2246467991473532e-16,-1.0,-0.661634618242279,0.749826401204568,False,,
2025-11-19 12:10:00,1020.64,0.0,11459.5,-0.04361938736533583,-0.9990482215818578,-0.661634618242279,0.749826401204568,False,,
2025-11-19 12:20:00,1020.38,0.0,17110.7,-0.08715574274765794,-0.9961946980917455,-0.661634618242279,0.749826401204568,False,,
2025-11-19 12:30:00,1020.2,0.0,16474.2,-0.13052619222005177,-0.9914448613738104,-0.661634618242279,0.749826401204568,False,,
2025-11-19 12:40:00,1020.05,0.0,15908.7,-0.17364817766693047,-0.984807753012208,-0.661634618242279,0.749826401204568,False,,
2025-11-19 12:50:00,1019.77,0.0,15540.9,-0.21643961393810252,-0.9762960071199335,-0.661634618242279,0.749826401204568,False,,
2025-11-19 13:00:00,1019.58,0.0,15211.9,-0.25881904510252035,-0.9659258262890684,-0.661634618242279,0.749826401204568,False,,
2025-11-19 13:10:00,1019.38,0.0,14835.6,-0.30070579950427306,-0.9537169507482269,-0.661634618242279,0.749826401204568,False,,
2025-11-19 13:20:00,1019.26,0.0,14652.8,-0.34202014332566866,-0.9396926207859084,-0.661634618242279,0.749826401204568,False,,
2025-11-19 13:30:00,1019.16,0.0,14298.0,-0.38268343236508967,-0.9238795325112868,-0.661634618242279,0.749826401204568,False,,
2025-11-19 13:40:00,1019.14,0.0,13941.0,-0.4226182617406993,-0.90630778703665,-0.661634618242279,0.749826401204568,False,,
